Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Alphonso Davies,96,ST,shapeshifters,Canada,99,92,91,96,90,91,https://wefut.com/player/22/22168/alphonso-davies
Eden Hazard,96,CAM,shapeshifters,Belgium,98,95,93,99,45,75,https://wefut.com/player/22/22167/eden-hazard
Kylian Mbappé,96,ST,futheadliners,France,99,93,90,97,44,86,https://wefut.com/player/22/18182/kylian-mbappe
Charles De Ketelaere,96,ST,playermoments,Belgium,96,96,95,98,90,96,https://wefut.com/player/22/23581/charles-de-ketelaere
Tanguy Ndombele,96,CAM,playermoments,France,93,92,96,99,90,91,https://wefut.com/player/22/23575/tanguy-ndombele
Diego Carlos,96,CB,playermoments,Brazil,91,57,82,85,97,98,https://wefut.com/player/22/23571/diego-carlos
Kylian Mbappé,97,ST,goldblue,France,99,96,94,98,89,95,https://wefut.com/player/22/23570/renato-sanches
Gabriel Jesus,96,ST,playermoments,Brazil,97,94,90,98,52,87,https://wefut.com/player/22/23568/gabriel-jesus
Marco Reus,96,RW,playermoments,Germany,97,93,95,96,58,83,https://wefut.com/player/22/22263/marco-reus
Jamie Vardy,96,LW,playermoments,England,97,96,88,94,61,87,https://wefut.com/player/22/22239/jamie-vardy
Alex Telles,96,LB,showdown,Brazil,97,84,98,92,92,90,https://wefut.com/player/22/23573/alex-telles
Darwin Núñez,96,ST,showdown,Uruguay,98,96,91,95,59,98,https://wefut.com/player/22/23560/darwin-nunez
Fernandinho,96,CDM,premiumsbc,Brazil,89,86,92,94,96,93,https://wefut.com/player/22/22233/fernandinho
Giorgio Chiellini,96,CB,premiumsbc,Italy,91,54,81,86,98,96,https://wefut.com/player/22/22184/giorgio-chiellini
Lorenzo Insigne,96,LW,premiumsbc,Italy,97,93,95,98,47,60,https://wefut.com/player/22/22147/lorenzo-insigne
Ángel Di María,96,RW,premiumsbc,Argentina,96,91,96,97,57,83,https://wefut.com/player/22/22144/angel-di-maria
Lionel Messi,96,RW,onestowatch,Argentina,89,95,94,98,38,72,https://wefut.com/player/22/17360/lionel-messi
Gelson Martins,96,RM,pinkgold,Portugal,99,96,93,99,71,88,https://wefut.com/player/22/22449/gelson-martins
Ferran Torres,96,RW,pinkgold,Spain,99,92,96,97,47,81,https://wefut.com/player/22/22368/ferran-torres
Kingsley Coman,96,LM,pinkgold,France,99,94,96,98,38,82,https://wefut.com/player/22/22354/kingsley-coman
Ronaldo,96,ST,legend,Brazil,97,95,81,95,45,76,https://wefut.com/player/22/17990/ronaldo
Zinedine Zidane,96,CAM,legend,France,85,92,96,95,75,86,https://wefut.com/player/22/17989/zinedine-zidane
Dušan Vlahović,96,ST,goldblue,Serbia,97,96,85,95,44,96,https://wefut.com/player/22/21923/dusan-vlahovic
Domenico Berardi,96,RW,goldblue,Italy,98,95,96,99,50,84,https://wefut.com/player/22/21922/domenico-berardi
Paulo Dybala,96,CF,goldblue,Argentina,95,96,96,99,48,78,https://wefut.com/player/22/21921/paulo-dybala
Ciro Immobile,96,ST,goldblue,Italy,96,98,86,92,48,91,https://wefut.com/player/22/21920/ciro-immobile
Neymar Jr,96,LW,goldblue,Brazil,96,90,91,99,42,70,https://wefut.com/player/22/21837/neymar-jr
Vinícius Jr.,96,LW,goldblue,Brazil,99,92,93,99,45,87,https://wefut.com/player/22/21766/vinicius-jr
Pedri,96,CM,goldblue,Spain,93,87,95,98,88,81,https://wefut.com/player/22/21765/pedri
Christopher Nkunku,96,CF,goldblue,France,94,92,97,98,87,87,https://wefut.com/player/22/21703/christopher-nkunku
Jude Bellingham,96,CM,goldblue,England,90,90,93,96,90,93,https://wefut.com/player/22/21702/jude-bellingham
Kevin De Bruyne,96,CM,goldblue,Belgium,88,92,98,95,76,88,https://wefut.com/player/22/21600/kevin-de-bruyne
Sadio Mané,96,LW,goldblue,Senegal,99,93,93,98,53,89,https://wefut.com/player/22/21599/sadio-mane
Virgil van Dijk,96,CB,goldblue,Netherlands,87,71,80,81,98,94,https://wefut.com/player/22/21598/virgil-van-dijk
Luis Suárez,96,ST,goldblue,Uruguay,94,97,92,95,55,93,https://wefut.com/player/22/21536/luis-suarez
N'Golo Kanté,96,CDM,toty,France,90,84,90,91,96,90,https://wefut.com/player/22/18312/n-golo-kante
Kevin De Bruyne,96,CM,toty,Belgium,86,92,98,93,80,88,https://wefut.com/player/22/18310/kevin-de-bruyne
Jordan Amavi,95,LB,pink,France,99,84,90,93,93,95,https://wefut.com/player/22/22454/jordan-amavi
Alassane Plea,95,ST,pink,France,95,97,91,95,50,90,https://wefut.com/player/22/22437/alassane-plea
Duván Zapata,95,ST,pink,Colombia,95,95,86,93,47,96,https://wefut.com/player/22/22429/duvan-zapata
Luis Díaz,95,LM,pink,Colombia,99,95,91,96,45,87,https://wefut.com/player/22/22346/luis-diaz
Mario Gomez,95,CB,shapeshifters,Germany,90,91,83,89,95,93,https://wefut.com/player/22/22245/mario-gomez
Ousmane Dembélé,95,ST,fantasypurple,France,99,93,90,97,45,75,https://wefut.com/player/22/20600/ousmane-dembele
Allan Saint-Maximin,95,ST,fantasypurple,France,99,93,89,98,33,84,https://wefut.com/player/22/20537/allan-saint-maximin
Marcus Rashford,95,LM,fantasypurple,England,99,94,90,92,52,89,https://wefut.com/player/22/20536/marcus-rashford
Gareth Bale,95,ST,championsleague,Wales,99,96,94,94,66,94,https://wefut.com/player/22/19433/gareth-bale
Presnel Kimpembe,95,CDM,shapeshifters,France,92,90,93,93,94,95,https://wefut.com/player/22/22268/presnel-kimpembe
Matthijs de Ligt,95,CM,shapeshifters,Netherlands,90,87,91,92,94,96,https://wefut.com/player/22/22267/matthijs-de-ligt
Kyle Walker,95,CB,shapeshifters,England,99,74,90,91,92,95,https://wefut.com/player/22/22266/kyle-walker
James Maddison,95,RW,shapeshifters,England,94,92,96,97,70,80,https://wefut.com/player/22/22258/james-maddison
Federico Valverde,95,RWB,shapeshifters,Uruguay,98,86,91,92,93,93,https://wefut.com/player/22/22252/federico-valverde
Adama Traoré,95,CF,shapeshifters,Spain,99,94,91,95,50,93,https://wefut.com/player/22/22235/adama-traore
Stephan El Shaarawy,95,CAM,shapeshifters,Italy,97,95,93,96,57,78,https://wefut.com/player/22/22193/stephan-el-shaarawy
Silas,95,CF,shapeshifters,DR Congo,98,94,92,95,67,84,https://wefut.com/player/22/22192/silas
Yannick Carrasco,95,CAM,shapeshifters,Belgium,97,92,96,98,70,85,https://wefut.com/player/22/22181/yannick-carrasco
Harry Kane,96,ST,goldblue,England,92,97,93,92,54,83,https://wefut.com/player/22/22180/jack-grealish
Yannick Carrasco,95,RW,shapeshifters,Belgium,99,98,92,96,56,85,https://wefut.com/player/22/22179/yannick-carrasco
Youcef Atal,95,CM,shapeshifters,Algeria,99,90,94,96,91,90,https://wefut.com/player/22/22171/youcef-atal
Leonardo Spinazzola,95,CDM,shapeshifters,Italy,99,84,90,95,92,90,https://wefut.com/player/22/22170/leonardo-spinazzola
Pierre-Emerick Aubameyang,95,LW,shapeshifters,Gabon,99,95,90,93,44,83,https://wefut.com/player/22/22169/pierre-emerick-aubameyang
Romelu Lukaku,95,ST,playermoments,Belgium,94,96,85,92,46,93,https://wefut.com/player/22/23561/romelu-lukaku
Ronaldinho,95,LW,legend,Brazil,94,93,92,98,39,82,https://wefut.com/player/22/20407/ronaldinho
Paolo Maldini,95,CB,legend,Italy,87,65,77,70,98,85,https://wefut.com/player/22/20406/paolo-maldini
Johan Cruyff,95,CF,legend,Netherlands,92,94,92,98,43,75,https://wefut.com/player/22/20405/johan-cruyff
Ferenc Puskás,95,ST,legend,Hungary,93,98,93,96,47,78,https://wefut.com/player/22/20287/ferenc-puskas
Garrincha,95,RW,legend,Brazil,92,89,96,97,42,73,https://wefut.com/player/22/20286/garrincha
Trent Alexander-Arnold,95,CM,flashback,England,94,88,96,93,93,90,https://wefut.com/player/22/22257/trent-alexander-arnold
Alexandre Lacazette,95,ST,premiumsbc,France,94,96,88,95,57,93,https://wefut.com/player/22/22163/alexandre-lacazette
Antony,95,RW,pinkgold,Brazil,99,91,95,98,52,81,https://wefut.com/player/22/22442/antony
Toni Kroos,95,CM,pinkgold,Germany,88,90,98,94,88,87,https://wefut.com/player/22/22440/toni-kroos
Maxence Lacroix,95,CB,pinkgold,France,96,49,77,81,94,93,https://wefut.com/player/22/22430/maxence-lacroix
Jonathan David,95,ST,pinkgold,Canada,97,95,89,93,40,91,https://wefut.com/player/22/22428/jonathan-david
Djibril Sow,95,CM,pinkgold,Switzerland,94,90,95,94,91,95,https://wefut.com/player/22/22373/djibril-sow
Federico Chiesa,95,RW,pinkgold,Italy,99,94,90,96,57,86,https://wefut.com/player/22/22366/federico-chiesa
Rodrigo Javier De Paul,95,CM,pinkgold,Argentina,93,91,94,96,89,91,https://wefut.com/player/22/22344/rodrigo-javier-de-paul
Diego Maradona,95,CAM,legend,Argentina,88,91,90,95,42,75,https://wefut.com/player/22/2/diego-maradona
Pelé,95,CF,legend,Brazil,96,93,90,95,56,75,https://wefut.com/player/22/1/pele
Carles Gil,95,CAM,goldblue,Spain,88,88,98,96,60,84,https://wefut.com/player/22/21957/carles-gil
Oscar,95,CAM,goldblue,Brazil,93,93,96,94,70,85,https://wefut.com/player/22/21939/oscar
Kalidou Koulibaly,95,CB,goldblue,Senegal,91,36,75,83,97,96,https://wefut.com/player/22/21926/kalidou-koulibaly
Jack Grealish,95,CAM,shapeshifters,England,95,93,95,94,90,94,https://wefut.com/player/22/21925/sandro-tonali
Theo Hernández,95,LB,goldblue,France,99,85,90,93,92,94,https://wefut.com/player/22/21924/theo-hernandez
Marquinhos,95,CB,goldblue,Brazil,91,61,85,87,97,91,https://wefut.com/player/22/21839/marquinhos
Wissam Ben Yedder,95,ST,goldblue,France,96,96,91,98,50,82,https://wefut.com/player/22/21838/wissam-ben-yedder
Éder Militão,95,CB,goldblue,Brazil,90,60,82,86,96,95,https://wefut.com/player/22/21769/eder-militao
João Félix,95,CF,goldblue,Portugal,95,91,91,98,52,82,https://wefut.com/player/22/21767/joao-felix
Erling Haaland,95,ST,goldblue,Norway,96,98,87,90,50,95,https://wefut.com/player/22/21706/erling-haaland
Florian Wirtz,95,CAM,goldblue,Germany,93,91,95,97,66,82,https://wefut.com/player/22/21705/florian-wirtz
Rúben Dias,95,CB,goldblue,Portugal,85,48,83,80,96,94,https://wefut.com/player/22/21604/ruben-dias
Heung Min Son,95,LW,goldblue,Korea Republic,95,95,91,94,50,79,https://wefut.com/player/22/21602/heung-min-son
João Cancelo,95,LB,goldblue,Portugal,96,86,92,94,92,91,https://wefut.com/player/22/21601/joao-cancelo
Ryan Gravenberch,95,CM,goldblue,Netherlands,94,90,93,95,88,90,https://wefut.com/player/22/21537/ryan-gravenberch
Lionel Messi,95,RW,motm,Argentina,88,94,94,97,36,70,https://wefut.com/player/22/21937/lionel-messi
Marquinhos,95,CB,toty,Brazil,90,61,85,86,97,90,https://wefut.com/player/22/18315/marquinhos
Thorgan Hazard,94,LM,pink,Belgium,95,92,93,96,70,83,https://wefut.com/player/22/22439/thorgan-hazard
Julian Brandt,94,CAM,pink,Germany,94,94,93,96,58,81,https://wefut.com/player/22/22438/julian-brandt
Jordan Veretout,94,CDM,pink,France,90,88,94,94,90,92,https://wefut.com/player/22/22427/jordan-veretout
Tammy Abraham,94,ST,pink,England,96,94,87,94,40,92,https://wefut.com/player/22/22426/tammy-abraham
Alexandre Pato,94,ST,pink,Brazil,96,93,88,95,45,89,https://wefut.com/player/22/22367/alexandre-pato
Rafinha,94,CM,pink,Brazil,90,92,96,97,89,88,https://wefut.com/player/22/22365/rafinha
Matheus Cunha,94,CAM,pink,Brazil,98,94,91,96,46,86,https://wefut.com/player/22/22364/matheus-cunha
Renan Lodi,94,LB,pink,Brazil,97,82,91,94,91,92,https://wefut.com/player/22/22363/renan-lodi
Kai Havertz,94,CAM,pink,Germany,94,93,92,95,53,84,https://wefut.com/player/22/22350/kai-havertz
Reece James,94,RWB,pink,England,97,74,92,92,91,93,https://wefut.com/player/22/22348/reece-james
Mason Mount,94,CM,pink,England,93,91,96,97,87,81,https://wefut.com/player/22/22347/mason-mount
Clint Dempsey,94,LW,shapeshifters,United States,94,94,93,96,82,90,https://wefut.com/player/22/22280/clint-dempsey
Freddie Ljungberg,94,CAM,shapeshifters,Sweden,95,92,93,95,53,86,https://wefut.com/player/22/22246/freddie-ljungberg
Abedi Pelé,94,CAM,futcaptainsheroes,Ghana,96,90,93,96,60,72,https://wefut.com/player/22/20793/abedi-pele
Julián Álvarez,94,ST,eumotm,Argentina,99,95,93,94,65,83,https://wefut.com/player/22/22149/julian-alvarez
Marcelo,94,LB,futcaptains,Brazil,93,86,93,96,91,89,https://wefut.com/player/22/20782/marcelo
Coutinho,94,CAM,fantasypurple,Brazil,93,93,92,97,62,76,https://wefut.com/player/22/20599/coutinho
Riyad Mahrez,94,RW,championsleague,Algeria,93,90,91,96,45,75,https://wefut.com/player/22/19465/riyad-mahrez
David Silva,94,LW,shapeshifters,Spain,94,91,95,96,60,72,https://wefut.com/player/22/22284/david-silva
Chris Wood,94,CB,shapeshifters,New Zealand,93,70,90,84,94,96,https://wefut.com/player/22/22281/chris-wood
Giovanni Reyna,94,LW,shapeshifters,United States,96,89,91,99,53,88,https://wefut.com/player/22/22259/giovanni-reyna
Hirving Lozano,94,ST,shapeshifters,Mexico,99,94,89,96,52,80,https://wefut.com/player/22/22236/hirving-lozano
Kieran Tierney,94,CB,shapeshifters,Scotland,93,67,87,85,94,91,https://wefut.com/player/22/22197/kieran-tierney
Raphaël Guerreiro,94,CM,shapeshifters,Portugal,94,90,94,95,87,86,https://wefut.com/player/22/22196/raphael-guerreiro
Jesús Corona,94,CM,shapeshifters,Mexico,95,92,93,94,88,88,https://wefut.com/player/22/22195/jesus-corona
Raphaël Guerreiro,94,RB,shapeshifters,Portugal,98,85,90,91,93,91,https://wefut.com/player/22/22194/raphael-guerreiro
Andrew Robertson,94,CDM,shapeshifters,Scotland,94,82,94,90,93,91,https://wefut.com/player/22/22182/andrew-robertson
Felipe Anderson,94,RW,shapeshifters,Brazil,99,93,94,97,75,83,https://wefut.com/player/22/22173/felipe-anderson
Pierre Kalulu,94,CB,shapeshifters,France,92,60,83,84,94,90,https://wefut.com/player/22/22172/pierre-kalulu
Joshua Kimmich,94,CDM,futheadliners,Germany,78,80,91,89,89,86,https://wefut.com/player/22/18230/joshua-kimmich
Mohamed Salah,94,RW,futheadliners,Egypt,95,93,90,95,51,84,https://wefut.com/player/22/18229/mohamed-salah
Ángel Correa,94,ST,playermoments,Argentina,94,95,89,96,57,82,https://wefut.com/player/22/22287/angel-correa
Karim Benzema,94,CF,laligapotm,France,84,92,88,94,44,85,https://wefut.com/player/22/21595/karim-benzema
Thierry Henry,94,ST,legend,France,96,96,85,93,54,81,https://wefut.com/player/22/20415/thierry-henry
Ruud Gullit,94,CF,legend,Netherlands,88,95,92,90,84,92,https://wefut.com/player/22/20414/ruud-gullit
Tim Cahill,94,CDM,shapeshifters,Australia,94,93,96,95,73,73,https://wefut.com/player/22/20413/xavi
Cafú,94,RWB,legend,Brazil,94,59,87,91,93,88,https://wefut.com/player/22/20412/cafu
Franco Baresi,94,CB,legend,Italy,80,50,79,74,97,85,https://wefut.com/player/22/20411/franco-baresi
Carles Puyol,94,CB,legend,Spain,79,49,69,60,96,92,https://wefut.com/player/22/20410/carles-puyol
George Best,94,RW,legend,Northern Ireland,95,93,86,98,59,73,https://wefut.com/player/22/20409/george-best
Eric Cantona,94,CF,legend,France,91,96,91,95,54,93,https://wefut.com/player/22/20294/eric-cantona
Eusébio,94,CF,legend,Portugal,95,98,87,95,46,80,https://wefut.com/player/22/20293/eusebio
Marco van Basten,94,ST,legend,Netherlands,86,97,78,91,40,78,https://wefut.com/player/22/20292/marco-van-basten
Carlos Alberto,94,RB,legend,Brazil,92,79,83,88,92,89,https://wefut.com/player/22/20291/carlos-alberto
Roberto Baggio,94,CAM,legend,Italy,87,87,93,94,41,64,https://wefut.com/player/22/20290/roberto-baggio
David Beckham,94,RM,legend,England,86,89,97,90,73,83,https://wefut.com/player/22/20289/david-beckham
Lothar Matthäus,94,CM,legend,Germany,91,92,91,86,91,86,https://wefut.com/player/22/20288/lothar-matthaus
Kylian Mbappé,94,ST,l1potm,France,99,91,86,95,39,84,https://wefut.com/player/22/20534/kylian-mbappe
Mohamed Salah,94,RW,toty,Egypt,95,93,90,95,51,84,https://wefut.com/player/22/18348/mohamed-salah
Rodrygo,94,RW,showdownwinner,Brazil,99,92,91,95,58,79,https://wefut.com/player/22/21808/rodrygo
Ricardo Pereira,94,LB,flashback,Portugal,94,83,92,93,94,90,https://wefut.com/player/22/22283/ricardo-pereira
Richarlison,94,CAM,flashback,Brazil,97,92,88,96,65,90,https://wefut.com/player/22/22187/richarlison
Dele Alli,94,CAM,flashback,England,88,92,92,95,82,90,https://wefut.com/player/22/21613/dele-alli
Cristiano Ronaldo,94,ST,plpotm,Portugal,91,96,87,92,37,80,https://wefut.com/player/22/21684/cristiano-ronaldo
Cristiano Ronaldo,94,ST,birthday,Portugal,90,95,86,92,37,81,https://wefut.com/player/22/20268/cristiano-ronaldo
Casemiro,94,CDM,pinkgold,Brazil,90,91,93,90,95,96,https://wefut.com/player/22/22436/casemiro
Johan Cruyff,94,CF,legend,Netherlands,91,92,91,94,42,73,https://wefut.com/player/22/18098/johan-cruyff
Ronaldinho,94,LW,legend,Brazil,92,90,91,95,37,81,https://wefut.com/player/22/18097/ronaldinho
Ferenc Puskás,94,CF,legend,Hungary,91,96,91,92,46,76,https://wefut.com/player/22/17993/ferenc-puskas
Paolo Maldini,94,CB,legend,Italy,86,56,75,69,96,83,https://wefut.com/player/22/17992/paolo-maldini
Zinedine Zidane,94,CAM,legend,France,82,90,93,92,72,83,https://wefut.com/player/22/4/zinedine-zidane
Ronaldo,94,ST,legend,Brazil,93,93,80,93,46,80,https://wefut.com/player/22/3/ronaldo
Hany Mukhtar,94,LF,goldblue,Germany,96,95,92,94,66,85,https://wefut.com/player/22/21958/hany-mukhtar
James Tavernier,94,RB,goldblue,England,99,88,93,91,92,95,https://wefut.com/player/22/21940/james-tavernier
Sergej Milinković-Savić,94,CM,goldblue,Serbia,85,88,93,97,88,95,https://wefut.com/player/22/21928/sergej-milinkovic-savic
Marcelo Brozović,94,CDM,goldblue,Croatia,91,83,95,90,95,94,https://wefut.com/player/22/21927/marcelo-brozovic
Deniz Undav,94,ST,goldblue,Germany,95,95,86,94,56,98,https://wefut.com/player/22/21891/deniz-undav
Marek Hamšík,94,CM,goldblue,Slovakia,85,90,95,94,86,87,https://wefut.com/player/22/21878/marek-hamsik
Lucas Paquetá,94,CAM,goldblue,Brazil,91,92,94,96,86,92,https://wefut.com/player/22/21842/lucas-paqueta
Aurélien Tchouaméni,94,CDM,goldblue,France,88,87,91,92,92,97,https://wefut.com/player/22/21840/aurelien-tchouameni
Darwin Núñez,94,ST,goldblue,Uruguay,98,93,88,93,56,98,https://wefut.com/player/22/21783/darwin-nunez
David Alaba,94,CB,goldblue,Austria,88,83,91,91,96,88,https://wefut.com/player/22/21770/david-alaba
Éver Banega,94,CM,goldblue,Argentina,87,87,96,94,90,87,https://wefut.com/player/22/21719/ever-banega
Thomas Müller,94,CAM,goldblue,Germany,91,94,91,93,68,85,https://wefut.com/player/22/21707/thomas-muller
Aleksandar Mitrović,94,ST,goldblue,Serbia,94,94,82,91,40,98,https://wefut.com/player/22/21641/aleksandar-mitrovic
Bernardo Silva,94,CM,goldblue,Portugal,88,90,94,98,65,79,https://wefut.com/player/22/21605/bernardo-silva
